,Make,Price,model,usage_km,fuel,transmission,color,fuel_economy,no_of_owner,registration,car_type,condition,condition_engine,condition_suspension,condition_brake,condition_transmission,condition_electrical,condition_ac,condition_exterior,condition_interior,condition_tyres
81,Honda Jazz,₹ 5.55 Lakh,May 2016,"22,106 km",Petrol,Manual,White,Not Available,First,Mumbai,5 Person,,"Engine Excellent
4.5/5","Engine Excellent
4.5/5","Brakes Excellent
5/5","Transmission Excellent
5/5","Electrical Good
3.6/5","A/C Excellent
4.3/5","Exterior Excellent
5/5","Interior Excellent
4.7/5","Tyres Good
2.7/5"
82,Maruti Suzuki XL6,₹ 11.11 Lakh,Aug 2019,"28,894 km",Petrol,Manual,Red,Not Available,First,Kalyan,6 Person,,"Engine Excellent
4.5/5","Engine Excellent
4.5/5","Brakes Excellent
5/5","Transmission Excellent
5/5","Electrical Good
3.6/5","A/C Excellent
4.3/5","Exterior Excellent
5/5","Interior Excellent
4.7/5","Tyres Fair
2.2/5"
83,Hyundai Elite i20,₹ 7.75 Lakh,Aug 2020,"23,524 km",Petrol,Manual,White,Not Available,First,vashi,5 Person,,"Engine Excellent
4.5/5","Engine Excellent
4.5/5","Brakes Excellent
5/5","Transmission Excellent
5/5","Electrical Good
3.6/5","A/C Excellent
4.3/5","Exterior Excellent
5/5","Interior Excellent
4.7/5","Tyres Excellent
4.2/5"
84,Hyundai Creta,₹ 10.55 Lakh,Feb 2016,"70,135 km",Diesel,Automatic,Red,Not Available,First,navi Mumbai,5 Person,,"Engine Excellent
4.5/5","Engine Excellent
4.5/5","Brakes Excellent
5/5","Transmission Excellent
5/5","Electrical Good
3.6/5","A/C Excellent
4.3/5","Exterior Excellent
5/5","Interior Excellent
4.7/5","Tyres Excellent
4.1/5"
85,Toyota Innova,₹ 10.51 Lakh,Mar 2014,"57,896 km",Diesel,Manual,Grey,Not Available,First,navi Mumbai,7 Person,,"Engine Excellent
4.5/5","Engine Excellent
4.5/5","Brakes Excellent
5/5","Transmission Excellent
5/5","Electrical Good
3.6/5","A/C Excellent
4.3/5","Exterior Excellent
5/5","Interior Excellent
4.7/5","Tyres Good
3.7/5"
86,Maruti Suzuki Celerio,₹ 5.85 Lakh,Aug 2019,"43,560 km",CNG,Manual,Grey,Not Available,First,Kalyan,5 Person,,"Engine Excellent
4.5/5","Engine Excellent
4.5/5","Brakes Excellent
5/5","Transmission Excellent
5/5","Electrical Good
3.6/5","A/C Excellent
4.3/5","Exterior Excellent
5/5","Interior Excellent
4.7/5","Tyres Good
2.9/5"
87,Maruti Suzuki Celerio,₹ 3.94 Lakh,Jan 2015,"51,031 km",Petrol,Manual,Grey,Not Available,First,panvel,5 Person,,"Engine Excellent
4.5/5","Engine Excellent
4.5/5","Brakes Excellent
5/5","Transmission Excellent
5/5","Electrical Good
3.6/5","A/C Excellent
4.3/5","Exterior Excellent
5/5","Interior Excellent
4.7/5","Tyres Excellent
4.5/5"
88,Maruti Suzuki Celerio,₹ 5.5 Lakh,Oct 2018,"69,303 km",Petrol,Manual,Red,Not Available,First,pune,5 Person,,"Engine Excellent
4.5/5","Engine Excellent
4.5/5","Brakes Excellent
5/5","Transmission Excellent
5/5","Electrical Good
3.6/5","A/C Excellent
4.5/5","Exterior Excellent
5/5","Interior Excellent
4.7/5","Tyres Good
3.5/5"
89,Maruti Suzuki Ritz,₹ 4.5 Lakh,Jun 2014,"53,751 km",Diesel,Manual,Silver,Not Available,First,Mumbai,5 Person,,"Engine Excellent
4.5/5","Engine Excellent
4.5/5","Brakes Excellent
5/5","Transmission Excellent
5/5","Electrical Good
3.6/5","A/C Excellent
4.3/5","Exterior Excellent
5/5","Interior Excellent
4.7/5","Tyres Excellent
4.5/5"
90,Mercedes-Benz C-Class,₹ 39.9 Lakh,Oct 2018,"23,466 km",Diesel,Automatic,Black,Not Available,First,Mumbai,5 Person,,"Engine Excellent
4.5/5","Engine Excellent
4.5/5","Brakes Excellent
5/5","Transmission Excellent
5/5","Electrical Good
3.6/5","A/C Excellent
4.3/5","Exterior Excellent
5/5","Interior Excellent
4.7/5","Tyres Good
3.2/5"
91,Honda WR-V,₹ 9.2 Lakh,May 2019,"22,153 km",Petrol,Manual,Red,Not Available,First,Mumbai,5 Person,,"Engine Excellent
4.5/5","Engine Excellent
4.5/5","Brakes Excellent
5/5","Transmission Excellent
5/5","Electrical Good
3.6/5","A/C Excellent
4.3/5","Exterior Excellent
5/5","Interior Excellent
4.7/5","Tyres Excellent
4.1/5"
92,Hyundai Creta,₹ 15.5 Lakh,May 2018,"48,982 km",Diesel,Automatic,Blue,Not Available,First,Borivali,5 Person,,"Engine Excellent
4.5/5","Engine Excellent
4.5/5","Brakes Excellent
5/5","Transmission Excellent
5/5","Electrical Good
3.6/5","A/C Excellent
4.3/5","Exterior Excellent
5/5","Interior Excellent
4.7/5","Tyres Good
3.4/5"
93,Land Rover Discovery,₹ 49.75 Lakh,Mar 2019,"13,361 km",Petrol,Automatic,Blue,Not Available,First,Mumbai,7 Person,,"Engine Excellent
4.5/5","Engine Excellent
4.5/5","Brakes Excellent
5/5","Transmission Excellent
5/5","Electrical Good
3.6/5","A/C Excellent
4.3/5","Exterior Excellent
5/5","Interior Excellent
4.7/5","Tyres Good
3.7/5"
94,Maruti Suzuki Ciaz,₹ 12.5 Lakh,Mar 2021,"14,758 km",Petrol,Automatic,Grey,Not Available,First,Mumbai,5 Person,,"Engine Excellent
4.5/5","Engine Excellent
4.5/5","Brakes Excellent
5/5","Transmission Excellent
5/5","Electrical Good
3.6/5","A/C Excellent
4.3/5","Exterior Excellent
5/5","Interior Excellent
4.7/5","Tyres Good
4/5"
95,MG Hector,₹ 18 Lakh,Feb 2021,"27,200 km",Petrol,Automatic,White,Not Available,First,Borivali,5 Person,,"Engine Excellent
4.5/5","Engine Excellent
4.5/5","Brakes Excellent
5/5","Transmission Excellent
5/5","Electrical Good
3.6/5","A/C Excellent
5/5","Exterior Excellent
5/5","Interior Excellent
5/5","Tyres Excellent
4.2/5"
96,Mercedes-Benz GLE,₹ 52 Lakh,Jun 2017,"40,000 km",Petrol,Automatic,Black,Not Available,First,Not Available,5 Person,*MERCEDES BENZ* *GLE 400 * 2017 APRIL *PETROL* BLACK WITH BEIGE INTERIOR *40000 KMS DONE WSR* DELHI NO SINGLE OWNER FULL INSURANCE TOTAL ORIGINAL PAINT JUST SERVICED FROM COMPANY BRAND NEW TYRES IMMACULATE CONDITION *SHIV CAR SALES*,,,,,,,,,
97,Honda Brio,₹ 3.35 Lakh,Oct 2012,"63,717 km",Petrol,Manual,Grey,Not Available,First,Pune,,,"Engine Excellent
4.6/5","Engine Excellent
4.6/5","Brakes Excellent
5/5","Transmission Excellent
5/5","Electrical Excellent
5/5","A/C Excellent
4.5/5","Exterior Excellent
5/5","Interior Excellent
4.7/5","Tyres Good
2.7/5"
98,Mitsubishi Outlander,₹ 6.45 Lakh,Sep 2009,"58,000 km",Petrol,Automatic,Silver,Not Available,First,Not Available,5 Person,,,,,,,,,,
99,Mahindra Scorpio,₹ 4 Lakh,Jun 2014,"78,000 km",Diesel,Manual,White,Not Available,Second,Not Available,7 & 8 Person,Good condition,,,,,,,,,
100,Mahindra Bolero,₹ 10.5 Lakh,Jun 2021,"28,825 km",Diesel,Manual,White,Not Available,First,Not Available,7 Person,excellent condition,,,,,,,,,
101,Audi A6,₹ 29.5 Lakh,Jun 2016,"44,000 km",Diesel,Automatic,White,Not Available,First,Not Available,5 Person,,,,,,,,,,
102,Honda City,₹ 5.75 Lakh,Nov 2014,"60,000 km",Diesel,Manual,Brown,Not Available,First,Mumbai,5 Person,"Very Good Condition, Non Accidental, Certified Car, Single Owner, Finance Available & Test Drive Available",,,,,,,,,
103,Maruti Suzuki Swift DZire,₹ 7.39 Lakh,Jun 2017,"70,000 km",Diesel,Automatic,White,Not Available,First,Not Available,5 Person,"Very Good Condition, Non Accidental, Single Owner, Finance Available & Test Drive Available",,,,,,,,,
104,Maruti Suzuki Celerio,₹ 5.5 Lakh,Oct 2018,"69,303 km",Petrol,Manual,Red,Not Available,First,pune,5 Person,,"Engine Excellent
4.5/5","Engine Excellent
4.5/5","Brakes Excellent
5/5","Transmission Excellent
5/5","Electrical Good
3.6/5","A/C Excellent
4.5/5","Exterior Excellent
5/5","Interior Excellent
4.7/5","Tyres Good
3.5/5"
105,Tata Altroz,₹ 10 Lakh,Feb 2022,"2,521 km",Petrol,Automatic,White,Not Available,First,thane,5 Person,,"Engine Excellent
4.5/5","Engine Excellent
4.5/5","Brakes Excellent
5/5","Transmission Excellent
5/5","Electrical Good
3.6/5","A/C Excellent
4.3/5","Exterior Excellent
5/5","Interior Excellent
4.7/5","Tyres Excellent
4.6/5"
106,Maruti Suzuki Swift,₹ 8.25 Lakh,Nov 2020,"12,801 km",Petrol,Automatic,White,Not Available,First,Mumbai,5 Person,,"Engine Excellent
4.5/5","Engine Excellent
4.5/5","Brakes Excellent
5/5","Transmission Excellent
5/5","Electrical Good
3.6/5","A/C Excellent
4.3/5","Exterior Excellent
5/5","Interior Excellent
4.7/5","Tyres Good
4/5"
107,Hyundai Creta,₹ 12.8 Lakh,Sep 2018,"49,973 km",Petrol,Automatic,Red,Not Available,First,Mumbai,5 Person,,"Engine Excellent
4.5/5","Engine Excellent
4.5/5","Brakes Excellent
5/5","Transmission Excellent
5/5","Electrical Good
3.6/5","A/C Excellent
4.3/5","Exterior Excellent
5/5","Interior Excellent
4.7/5","Tyres Fair
1.9/5"
108,MG Hector,₹ 18 Lakh,Feb 2021,"27,200 km",Petrol,Automatic,White,Not Available,First,Borivali,5 Person,,"Engine Excellent
4.5/5","Engine Excellent
4.5/5","Brakes Excellent
5/5","Transmission Excellent
5/5","Electrical Good
3.6/5","A/C Excellent
5/5","Exterior Excellent
5/5","Interior Excellent
5/5","Tyres Excellent
4.2/5"
109,Maruti Suzuki Ritz,₹ 4.5 Lakh,Jun 2014,"53,751 km",Diesel,Manual,Silver,Not Available,First,Mumbai,5 Person,,"Engine Excellent
4.5/5","Engine Excellent
4.5/5","Brakes Excellent
5/5","Transmission Excellent
5/5","Electrical Good
3.6/5","A/C Excellent
4.3/5","Exterior Excellent
5/5","Interior Excellent
4.7/5","Tyres Excellent
4.5/5"
110,Mercedes-Benz C-Class,₹ 39.9 Lakh,Oct 2018,"23,466 km",Diesel,Automatic,Black,Not Available,First,Mumbai,5 Person,,"Engine Excellent
4.5/5","Engine Excellent
4.5/5","Brakes Excellent
5/5","Transmission Excellent
5/5","Electrical Good
3.6/5","A/C Excellent
4.3/5","Exterior Excellent
5/5","Interior Excellent
4.7/5","Tyres Good
3.2/5"
111,Honda WR-V,₹ 9.2 Lakh,May 2019,"22,153 km",Petrol,Manual,Red,Not Available,First,Mumbai,5 Person,,"Engine Excellent
4.5/5","Engine Excellent
4.5/5","Brakes Excellent
5/5","Transmission Excellent
5/5","Electrical Good
3.6/5","A/C Excellent
4.3/5","Exterior Excellent
5/5","Interior Excellent
4.7/5","Tyres Excellent
4.1/5"
112,Hyundai Creta,₹ 15.5 Lakh,May 2018,"48,982 km",Diesel,Automatic,Blue,Not Available,First,Borivali,5 Person,,"Engine Excellent
4.5/5","Engine Excellent
4.5/5","Brakes Excellent
5/5","Transmission Excellent
5/5","Electrical Good
3.6/5","A/C Excellent
4.3/5","Exterior Excellent
5/5","Interior Excellent
4.7/5","Tyres Good
3.4/5"
113,Land Rover Discovery,₹ 49.75 Lakh,Mar 2019,"13,361 km",Petrol,Automatic,Blue,Not Available,First,Mumbai,7 Person,,"Engine Excellent
4.5/5","Engine Excellent
4.5/5","Brakes Excellent
5/5","Transmission Excellent
5/5","Electrical Good
3.6/5","A/C Excellent
4.3/5","Exterior Excellent
5/5","Interior Excellent
4.7/5","Tyres Good
3.7/5"
114,Maruti Suzuki Ciaz,₹ 12.5 Lakh,Mar 2021,"14,758 km",Petrol,Automatic,Grey,Not Available,First,Mumbai,5 Person,,"Engine Excellent
4.5/5","Engine Excellent
4.5/5","Brakes Excellent
5/5","Transmission Excellent
5/5","Electrical Good
3.6/5","A/C Excellent
4.3/5","Exterior Excellent
5/5","Interior Excellent
4.7/5","Tyres Good
4/5"
115,Nissan Micra,₹ 3.25 Lakh,Feb 2014,"63,855 km",Petrol,Manual,Silver,Not Available,Second,Pune,5 Person,,"Engine Excellent
4.6/5","Engine Excellent
4.6/5","Brakes Excellent
5/5","Transmission Excellent
5/5","Electrical Good
3.6/5","A/C Excellent
4.5/5","Exterior Fair
2.3/5","Interior Excellent
4.7/5","Tyres Fair
1.5/5"
116,Honda City,₹ 4.45 Lakh,Apr 2013,"77,727 km",Petrol,Automatic,Brown,Not Available,Second,Mumbai,5 Person,,"Engine Excellent
4.5/5","Engine Excellent
4.5/5","Brakes Excellent
5/5","Transmission Excellent
5/5","Electrical Good
3.6/5","A/C Excellent
4.3/5","Exterior Excellent
5/5","Interior Excellent
4.3/5","Tyres Fair
2.5/5"
117,Honda City,₹ 5.95 Lakh,Jun 2015,"47,537 km",Petrol,Manual,Brown,Not Available,Second,Mumbai,5 Person,,"Engine Excellent
4.5/5","Engine Excellent
4.5/5","Brakes Excellent
5/5","Transmission Excellent
5/5","Electrical Good
3.6/5","A/C Excellent
4.3/5","Exterior Excellent
5/5","Interior Excellent
4.7/5","Tyres Excellent
4.2/5"
118,Maruti Suzuki Baleno,₹ 7.25 Lakh,Jan 2019,"14,350 km",Petrol,Manual,Grey,Not Available,First,Karad,5 Person,,"Engine Excellent
4.5/5","Engine Excellent
4.5/5","Brakes Excellent
5/5","Transmission Excellent
5/5","Electrical Good
3.9/5","A/C Excellent
4.5/5","Exterior Excellent
5/5","Interior Excellent
4.9/5","Tyres Good
3.1/5"
119,Hyundai Xcent,₹ 4.5 Lakh,Jun 2014,"58,102 km",Petrol,Automatic,Blue,Not Available,First,Mumbai,5 Person,,"Engine Excellent
4.5/5","Engine Excellent
4.5/5","Brakes Excellent
5/5","Transmission Excellent
5/5","Electrical Good
3.6/5","A/C Excellent
4.3/5","Exterior Excellent
5/5","Interior Excellent
4.7/5","Tyres Fair
1.7/5"
120,Maruti Suzuki Wagon R,₹ 4.41 Lakh,Mar 2016,"50,218 km",CNG,Manual,White,Not Available,First,Mumbai,5 Person,,"Engine Excellent
4.5/5","Engine Excellent
4.5/5","Brakes Excellent
5/5","Transmission Excellent
5/5","Electrical Good
3.6/5","A/C Excellent
4.3/5","Exterior Excellent
5/5","Interior Excellent
4.7/5","Tyres Good
3.5/5"
121,Maruti Suzuki Baleno,₹ 7.45 Lakh,Jan 2018,"22,718 km",Petrol,Automatic,Blue,Not Available,First,Mumbai,5 Person,,"Engine Excellent
4.5/5","Engine Excellent
4.5/5","Brakes Excellent
5/5","Transmission Excellent
5/5","Electrical Good
3.6/5","A/C Excellent
4.3/5","Exterior Excellent
5/5","Interior Excellent
4.7/5","Tyres Good
2.8/5"
122,Maruti Suzuki Celerio,₹ 4.75 Lakh,Jun 2016,"29,866 km",Petrol,Automatic,White,Not Available,First,Mumbai,5 Person,,"Engine Excellent
4.5/5","Engine Excellent
4.5/5","Brakes Excellent
5/5","Transmission Excellent
5/5","Electrical Good
3.6/5","A/C Excellent
4.3/5","Exterior Excellent
5/5","Interior Excellent
4.7/5","Tyres Good
2.9/5"
123,Honda Jazz,₹ 5.55 Lakh,May 2016,"22,106 km",Petrol,Manual,White,Not Available,First,Mumbai,5 Person,,"Engine Excellent
4.5/5","Engine Excellent
4.5/5","Brakes Excellent
5/5","Transmission Excellent
5/5","Electrical Good
3.6/5","A/C Excellent
4.3/5","Exterior Excellent
5/5","Interior Excellent
4.7/5","Tyres Good
2.7/5"
124,Maruti Suzuki XL6,₹ 11.11 Lakh,Aug 2019,"28,894 km",Petrol,Manual,Red,Not Available,First,Kalyan,6 Person,,"Engine Excellent
4.5/5","Engine Excellent
4.5/5","Brakes Excellent
5/5","Transmission Excellent
5/5","Electrical Good
3.6/5","A/C Excellent
4.3/5","Exterior Excellent
5/5","Interior Excellent
4.7/5","Tyres Fair
2.2/5"
125,Hyundai Elite i20,₹ 7.75 Lakh,Aug 2020,"23,524 km",Petrol,Manual,White,Not Available,First,vashi,5 Person,,"Engine Excellent
4.5/5","Engine Excellent
4.5/5","Brakes Excellent
5/5","Transmission Excellent
5/5","Electrical Good
3.6/5","A/C Excellent
4.3/5","Exterior Excellent
5/5","Interior Excellent
4.7/5","Tyres Excellent
4.2/5"
126,Hyundai Creta,₹ 10.55 Lakh,Feb 2016,"70,135 km",Diesel,Automatic,Red,Not Available,First,navi Mumbai,5 Person,,"Engine Excellent
4.5/5","Engine Excellent
4.5/5","Brakes Excellent
5/5","Transmission Excellent
5/5","Electrical Good
3.6/5","A/C Excellent
4.3/5","Exterior Excellent
5/5","Interior Excellent
4.7/5","Tyres Excellent
4.1/5"
127,Honda WR-V,₹ 7.5 Lakh,Jun 2018,"22,647 km",Petrol,Manual,White,Not Available,First,Mumbai,5 Person,,"Engine Excellent
4.5/5","Engine Excellent
4.5/5","Brakes Excellent
5/5","Transmission Excellent
5/5","Electrical Good
3.6/5","A/C Excellent
4.3/5","Exterior Excellent
5/5","Interior Excellent
4.7/5","Tyres Good
3.4/5"
128,Honda Jazz,₹ 7.88 Lakh,Jun 2017,"36,858 km",Petrol,Manual,Silver,Not Available,First,Not Available,5 Person,"Excellent Condition, Non Accidental, Original Paint, Single Owner, Finance Available, Service History Available, Test Drive Available & Warranty Available",,,,,,,,,
129,Land Rover Discovery Sport,₹ 36 Lakh,Jun 2016,"36,000 km",Petrol,Automatic,Green,Not Available,First,Not Available,7 Person,,,,,,,,,,
130,Honda BR-V,₹ 8.15 Lakh,Apr 2018,"34,760 km",Petrol,Manual,Silver,Not Available,First,Mumbai,7 Person,,"Engine Excellent
4.5/5","Engine Excellent
4.5/5","Brakes Excellent
5/5","Transmission Excellent
5/5","Electrical Good
3.6/5","A/C Excellent
4.3/5","Exterior Excellent
5/5","Interior Excellent
4.7/5","Tyres Good
3.7/5"
131,Honda City,₹ 3.65 Lakh,Jun 2009,"70,829 km",Petrol,Automatic,Grey,Not Available,Second,Not Available,5 Person,"Excellent Condition, Single Owner, Original Paint, Non Accidental, Less Driven & Certified Car",,,,,,,,,
132,Maruti Suzuki Omni,₹ 1.35 Lakh,Jun 2012,"47,256 km",LPG,Manual,Silver,Not Available,Second,Not Available,5 Person,Its in Good Condition-Gas Kit Fitted-Price negotiable,,,,,,,,,
133,Hyundai Xcent,₹ 4.5 Lakh,Jun 2014,"58,102 km",Petrol,Automatic,Blue,Not Available,First,Mumbai,5 Person,,"Engine Excellent
4.5/5","Engine Excellent
4.5/5","Brakes Excellent
5/5","Transmission Excellent
5/5","Electrical Good
3.6/5","A/C Excellent
4.3/5","Exterior Excellent
5/5","Interior Excellent
4.7/5","Tyres Fair
1.7/5"
134,Maruti Suzuki Baleno,₹ 5.5 Lakh,Mar 2016,"39,876 km",Petrol,Manual,Blue,Not Available,First,Pimpri Chinchwad,5 Person,"Non Accidental, Single Owner, Rear view Camera, Service History Available, Excellent Condition, Finance Available & Test Drive Available",,,,,,,,,
135,BMW 3-Series,₹ 20.5 Lakh,Jun 2017,"58,000 km",Diesel,Automatic,White,Not Available,First,Not Available,5 Person,"Very Good Condition, Single Owner, Less Driven, Certified Car, Finance Available, Test Drive Available & Service History Available",,,,,,,,,
136,Maruti Suzuki Ciaz,₹ 7.25 Lakh,Jan 2015,"28,994 km",Petrol,Automatic,Brown,Not Available,First,Mumbai,5 Person,,"Engine Excellent
4.5/5","Engine Excellent
4.5/5","Brakes Excellent
5/5","Transmission Excellent
5/5","Electrical Good
3.6/5","A/C Excellent
4.3/5","Exterior Excellent
5/5","Interior Excellent
4.7/5","Tyres Good
3.5/5"
137,Maruti Suzuki Celerio,₹ 5.4 Lakh,May 2016,"46,083 km",Petrol,Automatic,Red,Not Available,First,Mumbai,5 Person,,"Engine Excellent
4.5/5","Engine Excellent
4.5/5","Brakes Excellent
5/5","Transmission Excellent
5/5","Electrical Good
3.6/5","A/C Excellent
4.3/5","Exterior Excellent
5/5","Interior Excellent
4.7/5","Tyres Good
2.7/5"
138,Hyundai Grand i10,₹ 4.75 Lakh,Jul 2015,"41,390 km",Petrol,Manual,Red,Not Available,First,Borivali,5 Person,,"Engine Excellent
4.5/5","Engine Excellent
4.5/5","Brakes Excellent
5/5","Transmission Excellent
5/5","Electrical Good
3.6/5","A/C Excellent
4.3/5","Exterior Excellent
5/5","Interior Excellent
4.7/5","Tyres Excellent
4.1/5"
139,Maruti Suzuki XL6,₹ 11.99 Lakh,Dec 2020,"24,585 km",Petrol,Manual,Blue,Not Available,First,vasai,6 Person,,"Engine Excellent
4.5/5","Engine Excellent
4.5/5","Brakes Excellent
5/5","Transmission Excellent
5/5","Electrical Good
3.6/5","A/C Excellent
4.3/5","Exterior Excellent
5/5","Interior Excellent
4.7/5","Tyres Good
3.6/5"
140,Honda WR-V,₹ 7.5 Lakh,Jun 2018,"22,647 km",Petrol,Manual,White,Not Available,First,Mumbai,5 Person,,"Engine Excellent
4.5/5","Engine Excellent
4.5/5","Brakes Excellent
5/5","Transmission Excellent
5/5","Electrical Good
3.6/5","A/C Excellent
4.3/5","Exterior Excellent
5/5","Interior Excellent
4.7/5","Tyres Good
3.4/5"
141,Honda Jazz,₹ 5.35 Lakh,Jun 2015,"41,179 km",Petrol,Manual,Maroon,Not Available,First,panvel,5 Person,,"Engine Excellent
4.5/5","Engine Excellent
4.5/5","Brakes Excellent
5/5","Transmission Excellent
5/5","Electrical Good
3.6/5","A/C Excellent
4.3/5","Exterior Excellent
5/5","Interior Excellent
4.7/5","Tyres Good
3.4/5"
142,Maruti Suzuki Swift,₹ 4.99 Lakh,Jul 2016,"61,235 km",Petrol,Manual,Grey,Not Available,First,Mumbai,5 Person,,"Engine Excellent
4.5/5","Engine Excellent
4.5/5","Brakes Excellent
5/5","Transmission Excellent
5/5","Electrical Good
3.6/5","A/C Excellent
4.3/5","Exterior Excellent
5/5","Interior Excellent
4.7/5","Tyres Good
3.7/5"
143,Maruti Suzuki Vitara Brezza,₹ 9.65 Lakh,Oct 2018,"49,045 km",Diesel,Automatic,White,Not Available,First,thane,5 Person,,"Engine Excellent
4.5/5","Engine Excellent
4.5/5","Brakes Excellent
5/5","Transmission Excellent
5/5","Electrical Good
3.6/5","A/C Excellent
4.3/5","Exterior Excellent
5/5","Interior Excellent
4.7/5","Tyres Good
3.9/5"
144,Toyota Innova,₹ 22.25 Lakh,Mar 2018,"62,328 km",Diesel,Automatic,White,Not Available,First,Kalyan,7 Person,,"Engine Excellent
4.5/5","Engine Excellent
4.5/5","Brakes Excellent
5/5","Transmission Excellent
5/5","Electrical Good
3.6/5","A/C Excellent
4.3/5","Exterior Excellent
5/5","Interior Excellent
4.7/5","Tyres Good
3.4/5"
145,Honda Jazz,₹ 5.55 Lakh,May 2016,"22,106 km",Petrol,Manual,White,Not Available,First,Mumbai,5 Person,,"Engine Excellent
4.5/5","Engine Excellent
4.5/5","Brakes Excellent
5/5","Transmission Excellent
5/5","Electrical Good
3.6/5","A/C Excellent
4.3/5","Exterior Excellent
5/5","Interior Excellent
4.7/5","Tyres Good
2.7/5"
146,Maruti Suzuki XL6,₹ 11.11 Lakh,Aug 2019,"28,894 km",Petrol,Manual,Red,Not Available,First,Kalyan,6 Person,,"Engine Excellent
4.5/5","Engine Excellent
4.5/5","Brakes Excellent
5/5","Transmission Excellent
5/5","Electrical Good
3.6/5","A/C Excellent
4.3/5","Exterior Excellent
5/5","Interior Excellent
4.7/5","Tyres Fair
2.2/5"
147,Hyundai Elite i20,₹ 7.75 Lakh,Aug 2020,"23,524 km",Petrol,Manual,White,Not Available,First,vashi,5 Person,,"Engine Excellent
4.5/5","Engine Excellent
4.5/5","Brakes Excellent
5/5","Transmission Excellent
5/5","Electrical Good
3.6/5","A/C Excellent
4.3/5","Exterior Excellent
5/5","Interior Excellent
4.7/5","Tyres Excellent
4.2/5"
