,make, model, price, year, km_used, fuel_type, mileage, transmission, color, fuel_economy, no_of_owners, registered_at, condition, overall_condition, engine_condition, suspension_condition, brakes_condition, electrical_condition, ac_condition, exterior_condition, interior_condition, tyre_condition
363,2021 Mercedes-Benz AMG GLA 35,4MATIC,₹ 72 Lakh,Jun-21,"3,000 km",Petrol,302 bhp @ 5800 rpm ,Automatic,Silver,Not Available,UnRegistered Car,Registered at,can Register ACROSS INDIA,4.5/5,4.2/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.9/5
364,2019 Volvo S90,Inscription D4 [2016-2020],₹ 50 Lakh,Jun-19,"52,000 km",Diesel,"Automatic - 8 Gears, Manual Override, Sport Mode ",Automatic,White,Not Available,First,Registered at,"VOLVO S90 D4 INSCRIPTION
MANUFACTURING YEAR: JAN-2019
REGISTRATION YEAR : MARCH-2020
REGISTRATION : ANDHRA PRADESH
FUEL TYPE : DIESEL
INSURANCE VALID : MARCH-2023
NUMBER OF OWNERS : SINGLE

DESCRIPTION : Vehicle is in good Condition and having a Total Showroom History and well Maintained Vehicle

For More details Visit Forex Premium & Luxury Cars Showroom Madhapur",4.5/5,4.2/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.9/5
365,2015 Maruti Suzuki Swift,VDi ABS [2014-2017],₹ 5.5 Lakh,Jun-15,"86,000 km",Diesel,25.2 kmpl,Manual,Grey,Not Available,First,Registered at,"Original Paint, Single Owner, Finance Available & Test Drive Available",4.5/5,4.2/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.9/5
366,2017 Maruti Suzuki Swift,ZXi,₹ 5.7 Lakh,Jun-17,"1,02,307 km",Petrol,20.4 kmpl,Manual,Grey,Not Available,First,Registered at,good condition,4.5/5,4.2/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.9/5
367,2013 Volkswagen Polo,Highline1.5L (D),₹ 4.1 Lakh,Jun-13,"78,369 km",Diesel,20.139999389648438 kmpl,Manual,White,Not Available,First,Registered at,"Good Condition, Certified Car, Less Driven, Original Paint, Non Accidental, Single Owner, Alloy Wheels, Finance Available, Rear view Camera, Roadside Assistance Available, Service History Available & Test Drive Available",4.5/5,4.2/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.9/5
368,2019 Hyundai Venue,SX 1.4 (O) CRDi,₹ 10.4 Lakh,Jun-19,"62,532 km",Diesel,FWD ,Manual,White,Not Available,First,Registered at,"Certified Car, Less Driven, Non Accidental, Original Paint, Single Owner, Parsi Owned, Alloy Wheels, Finance Available, Rear view Camera, Roadside Assistance Available, Service History Available, Test Drive Available & VIP Number",4.5/5,4.2/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.9/5
369,2017 Hyundai Elite i20,Sportz 1.4 CRDI,₹ 7.5 Lakh,Jun-17,"85,000 km",Diesel,22.54 kmpl,Manual,White,Not Available,First,Registered at,"Excellent Condition, Less Driven, Non Accidental, Original Paint, Single Owner, Finance Available & Test Drive Available",4.5/5,4.2/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.9/5
370,2018 Hyundai Elite i20,Sportz 1.4 CRDi,₹ 7.85 Lakh,Jun-18,"85,000 km",Diesel,22.5 kmpl,Manual,Grey,Not Available,First,Registered at,"Excellent Condition, Less Driven, Non Accidental, Original Paint, Single Owner, Finance Available, Service History Available & Test Drive Available",4.5/5,4.2/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.9/5
371,2021 Jaguar F-Pace,S R-Dynamic 2.0 Diesel,₹ 86 Lakh,Jun-21,"10,130 km",Diesel,19.3 kmpl,Automatic,White,Not Available,First,Registered at,Get Seller Details,4.5/5,4.2/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.9/5
372,2018 Tata Tiago,Revotron XZA,₹ 5.95 Lakh,Jun-18,"26,000 km",Petrol,23.84 kmpl,Automatic,Grey,Not Available,First,Registered at,"Original Paint, Single Owner, Finance Available & Test Drive Available",4.5/5,4.2/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.9/5
373,2011 Hyundai i10,Magna 1.2 Kappa2,₹ 3.25 Lakh,Jun-11,"68,000 km",Petrol,20.63 kmpl,Manual,Gold,Not Available,First,Registered at,"Original Paint, Single Owner, Finance Available & Test Drive Available",4.5/5,4.2/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.9/5
374,2018 Mercedes-Benz GLC,220 d Progressive,₹ 44 Lakh,Jun-18,"76,819 km",Diesel,AWD ,Automatic,Black,Not Available,First,Registered at," *last Service Done :69,105 Kms on 22-02-2022*

 *Insurance Valid Till 19-03-2023*

 *Service Package Valid Till - 20-03-2023*

 *Advance Assurance Warranty till 20-03-2023*/ *100000 Kms*",4.5/5,4.2/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.9/5
375,2016 Maruti Suzuki Swift DZire,VDI,₹ 6.3 Lakh,Jun-16,"9,90,000 km",Diesel,26.59 kmpl,Manual,White,Not Available,First,Registered at,"Original Paint, Single Owner, Test Drive Available & Finance Available",4.5/5,4.2/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.9/5
376,2017 Maruti Suzuki S-Cross,Zeta 1.3,₹ 8.55 Lakh,Jun-17,"84,000 km",Diesel,23.65 kmpl,Manual,White,Not Available,First,Registered at,"Original Paint, Non Accidental, Single Owner, Finance Available & Test Drive Available",4.5/5,4.2/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.9/5
377,2017 Maruti Suzuki Alto 800,Lxi,₹ 3.3 Lakh,Jun-17,"58,000 km",Petrol,22.74 kmpl,Manual,Silver,Not Available,First,Registered at,"Excellent Condition, Less Driven, Non Accidental, Original Paint, Single Owner, Finance Available, Service History Available & Test Drive Available",4.5/5,4.2/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.9/5
378,2020 Tata Altroz,XZ Petrol,₹ 8.45 Lakh,Jun-20,"28,000 km",Petrol,18.5 kmpl,Manual,Red,Not Available,First,Registered at,Excellent condition,4.5/5,4.2/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.9/5
379,2009 Hyundai i10,Magna,₹ 2.75 Lakh,Jun-09,"83,000 km",Petrol,13.2 kmpl,Manual,Silver,Not Available,First,Registered at,"Very Good Condition, Less Driven, Non Accidental, Original Paint, Single Owner, Test Drive Available & Finance Available",4.5/5,4.2/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.9/5
380,2017 Maruti Suzuki Swift,VDi ABS,₹ 6.8 Lakh,Jun-17,"81,698 km",Diesel,25.2 kmpl,Manual,White,Not Available,First,Registered at,Good Condition & Non Accidental,4.5/5,4.2/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.9/5
381,2007 Maruti Suzuki Alto,LXi BS-III,₹ 2 Lakh,Jun-07,"47,008 km",Petrol,14.54 kmpl,Manual,Silver,Not Available,First,Registered at,"Excellent Condition, Less Driven, Certified Car, Non Accidental & Single Owner",4.5/5,4.2/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.9/5
382,2012 Hyundai Verna,Fluidic 1.6 VTVT SX,₹ 5.2 Lakh,Jun-12,"89,723 km",Petrol,FWD ,Manual,White,Not Available,First,Registered at,"Excellent Condition, Certified Car, Non Accidental & Single Owner",4.5/5,4.2/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.9/5
383,2017 Hyundai Eon,Magna + AirBag,₹ 3.8 Lakh,Jun-17,"49,229 km",Petrol,21.1 kmpl,Manual,Silver,Not Available,First,Registered at,excellent condition,4.5/5,4.2/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.9/5
384,2013 Maruti Suzuki Alto,VXi,₹ 2.85 Lakh,Jun-13,"78,000 km",Petrol,20.2 kmpl,Manual,Red,Not Available,First,Registered at,"Single Owner, Finance Available & Test Drive Available",4.5/5,4.2/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.9/5
385,2009 Ford Fiesta,Style Diesel [2011-2014],₹ 1.95 Lakh,Jun-09,"1,12,000 km",Diesel,23.5 kmpl,Manual,Silver,Not Available,First,Registered at,"Immaculate Condition, Non Accidental, Original Paint, Single Owner, Finance Available & Test Drive Available",4.5/5,4.2/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.9/5
386,2019 Maruti Suzuki Alto 800,Lxi,₹ 3.5 Lakh,Jun-19,"52,000 km",Petrol,22.74 kmpl,Manual,Silver,Not Available,First,Registered at,"Very Good Condition, Less Driven, Non Accidental, Original Paint, Single Owner, Finance Available & Test Drive Available",4.5/5,4.2/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.9/5
387,2015 Maruti Suzuki DZire,VDi,₹ 5.99 Lakh,Jun-15,"82,000 km",Diesel,28.4 kmpl,Manual,Grey,Not Available,First,Registered at,"Excellent Condition, Less Driven, Non Accidental, Original Paint, Single Owner, Finance Available, Service History Available & VIP Number",4.5/5,4.2/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.9/5
388,2016 Maruti Suzuki Swift DZire,VDI,₹ 6.75 Lakh,Jun-16,"1,00,000 km",Diesel,26.59 kmpl,Manual,Silver,Not Available,First,Registered at,"Excellent Condition, Less Driven, Non Accidental, Original Paint, Single Owner, Finance Available, Service History Available & Test Drive Available",4.5/5,4.2/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.9/5
389,2010 Hyundai i10,Magna,₹ 2.95 Lakh,Jun-10,"82,000 km",Petrol,13.2 kmpl,Manual,Grey,Not Available,First,Registered at,"Very Good Condition, Less Driven, Non Accidental, Original Paint, Single Owner, Test Drive Available & Finance Available",4.5/5,4.2/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.9/5
390,2017 Maruti Suzuki Vitara Brezza,ZDi,₹ 8.35 Lakh,Jun-17,"1,31,000 km",Diesel,24.29 kmpl,Manual,Gold,Not Available,First,Registered at,"Excellent Condition, Less Driven, Non Accidental, Original Paint, Single Owner, Alloy Wheels, Finance Available, Rear view Camera, Service History Available & Test Drive Available",4.5/5,4.2/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.9/5
391,2021 Maruti Suzuki Alto 800,VXi,₹ 4.8 Lakh,Jun-21,"1,317 km",Petrol,22 kmpl,Manual,Red,Not Available,First,Registered at,"Very Good Condition, Less Driven, Non Accidental, Original Paint & Single Owner",4.5/5,4.2/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.9/5
392,2015 Volkswagen Polo,Comfortline 1.2L (P),₹ 5.2 Lakh,Jun-15,"89,579 km",Petrol,16.47 kmpl,Manual,Silver,Not Available,First,Registered at,"Excellent Condition, Non Accidental, Certified Car, Single Owner & Finance Available",4.5/5,4.2/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.9/5
393,2018 Maruti Suzuki Eeco,5 STR WITH A/C+HTR [2019-2020],₹ 4.5 Lakh,Jun-18,"57,000 km",Petrol,16.2 kmpl,Manual,Silver,Not Available,First,Registered at,"Excellent Condition, Less Driven, Non Accidental, Original Paint, Single Owner, Service History Available & Test Drive Available",4.5/5,4.2/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.9/5
394,2018 Maruti Suzuki Ertiga,ZDI + SHVS,₹ 10.39 Lakh,May-18,"67,929 km",Diesel,24.52 kmpl,Manual,Black,Not Available,First,Registered at,"""This car is MRL certified and checked by experts on 140 quality parameters to provide you with a good-as-new experience. We have a 7-day easy return policy, no question asked, and a free 12-month warranty*
Mega Refurbishment Labs (MRLs) are world-class facilities across 7 metros in India - each is built on 35 acres of land and can produce 20,000 top-quality refurbished cars per month.""",4.5/5,4.2/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.9/5
395,2018 Maruti Suzuki Ertiga,VDI SHVS,₹ 9.08 Lakh,May-18,"80,531 km",Diesel,24.52 kmpl,Manual,Black,Not Available,First,Registered at,"""This car is MRL certified and checked by experts on 140 quality parameters to provide you with a good-as-new experience. We have a 7-day easy return policy, no question asked, and a free 12-month warranty*
Mega Refurbishment Labs (MRLs) are world-class facilities across 7 metros in India - each is built on 35 acres of land and can produce 20,000 top-quality refurbished cars per month.""",4.5/5,4.2/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.9/5
396,2020 Mahindra XUV500,W9,₹ 17.87 Lakh,May-20,"7,464 km",Diesel,16 kmpl,Manual,Black,Not Available,First,Registered at,"Super saver Days sale!!!!! save upto 60,000/- off. This car is MRL certified and checked by experts on 140 quality parameters to provide you with a good-as-new experience. We have a 7-day easy return policy, no question asked, and a free 12-month warranty. Mega Refurbishment Labs (MRLs) are world-class facilities across 7 metros in India - each is built on 35 acres of land and can produce 20,000 top-quality refurbished cars per month. Additional charges for Insurance and RC Transfer may apply. * Terms and conditions applied.",4.5/5,4.2/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.9/5
397,2017 Mahindra XUV500,W10,₹ 12.78 Lakh,May-17,"65,318 km",Diesel,16 kmpl,Manual,Brown,Not Available,First,Registered at,"Super saver Days sale!!!!! save upto 60,000/- off. This car is MRL certified and checked by experts on 140 quality parameters to provide you with a good-as-new experience. We have a 7-day easy return policy, no question asked, and a free 12-month warranty. Mega Refurbishment Labs (MRLs) are world-class facilities across 7 metros in India - each is built on 35 acres of land and can produce 20,000 top-quality refurbished cars per month. Additional charges for Insurance and RC Transfer may apply. * Terms and conditions applied.",4.5/5,4.2/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.9/5
398,2019 Hyundai Santro,Sportz AMT [2018-2020],₹ 5.86 Lakh,May-19,"44,040 km",Petrol,FWD ,Automatic,Maroon,Not Available,First,Registered at,"Super saver Days sale!!!!! save upto 60,000/- off. This car is MRL certified and checked by experts on 140 quality parameters to provide you with a good-as-new experience. We have a 7-day easy return policy, no question asked, and a free 12-month warranty. Mega Refurbishment Labs (MRLs) are world-class facilities across 7 metros in India - each is built on 35 acres of land and can produce 20,000 top-quality refurbished cars per month. Additional charges for Insurance and RC Transfer may apply. * Terms and conditions applied.",4.5/5,4.2/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.9/5
399,2018 Maruti Suzuki Ertiga,ZDI SHVS,₹ 11.22 Lakh,May-18,"43,460 km",Diesel,24.52 kmpl,Manual,Black,Not Available,First,Registered at,"""This car is MRL certified and checked by experts on 140 quality parameters to provide you with a good-as-new experience. We have a 7-day easy return policy, no question asked, and a free 12-month warranty*
Mega Refurbishment Labs (MRLs) are world-class facilities across 7 metros in India - each is built on 35 acres of land and can produce 20,000 top-quality refurbished cars per month.""",4.5/5,4.2/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.9/5
400,2014 Ford Figo,Duratorq Diesel ZXI 1.4,₹ 3.9 Lakh,Jun-14,"60,551 km",Diesel,20 kmpl,Manual,Orange,Not Available,First,Registered at,excellent condition,4.5/5,4.2/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.9/5
401,2016 Maruti Suzuki Baleno,Zeta 1.2 AT,₹ 6.85 Lakh,Jun-16,"61,526 km",Petrol,21.4 kmpl,Automatic,Red,Not Available,First,Registered at,excellent condition,4.5/5,4.2/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.9/5
402,2017 Hyundai Elite i20,Asta 1.4 CRDI,₹ 7.9 Lakh,Jun-17,"78,000 km",Diesel,22.54 kmpl,Manual,Maroon,Not Available,First,Registered at,"Single Owner, Finance Available, Test Drive Available & Original Paint",4.5/5,4.2/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.9/5
403,2017 Volvo XC60,Kinetic,₹ 23.5 Lakh,Jun-17,"1,40,000 km",Diesel,14.7 kmpl,Automatic,Grey,Not Available,First,Registered at,"Good Condition, Original Paint, Non Accidental, Certified Car, Single Owner, Alloy Wheels, Finance Available, Test Drive Available, Service History Available & Rear view Camera",4.5/5,4.2/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.9/5
404,2017 Tata Safari,2.2 VX 4x2,₹ 11.45 Lakh,Jun-17,"70,000 km",Diesel,14 kmpl,Manual,White,Not Available,First,Registered at,"Very Good Condition, Original Paint, Non Accidental, Less Driven, Certified Car, Single Owner, Alloy Wheels, Finance Available, Test Drive Available & Service History Available",4.5/5,4.2/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.9/5
405,2010 Chevrolet Aveo U-Va,LS 1.2,₹ 1.35 Lakh,Jun-10,"75,369 km",Petrol,15.26 kmpl,Manual,White,Not Available,First,Registered at,"Immaculate Condition, Certified Car, Less Driven, Non Accidental, Original Paint, Single Owner, Test Drive Available & VIP Number",4.5/5,4.2/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.9/5
406,2021 Mahindra Bolero,B6 (O),₹ 10.5 Lakh,Jun-21,"28,825 km",Diesel,16.7 kmpl,Manual,White,Not Available,First,Registered at,excellent condition,4.5/5,4.2/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.9/5
407,2013 Hyundai i20,Sportz 1.2 (O),₹ 4.9 Lakh,Jun-13,"80,047 km",Petrol,185 / 65 R14 ,Manual,White,Not Available,First,Registered at,"Excellent Condition, Single Owner, Non Accidental & Finance Available",4.5/5,4.2/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.9/5
408,2009 Honda Jazz,Base Old,₹ 3.35 Lakh,Jun-09,"1,11,860 km",Petrol,12.4 kmpl,Manual,Blue,Not Available,First,Registered at,good condition,4.5/5,4.2/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.9/5
409,2014 Honda Mobilio,S Petrol,₹ 5.7 Lakh,Jun-14,"55,431 km",Petrol,17.3 kmpl,Manual,Silver,Not Available,First,Registered at,good condition,4.5/5,4.2/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.9/5
410,2017 Hyundai Creta,SX 1.6 CRDi,₹ 11.7 Lakh,Jun-17,"85,000 km",Diesel,19.67 kmpl,Manual,White,Not Available,First,Registered at,"Very Good Condition, Less Driven, Non Accidental, Original Paint, Single Owner, Alloy Wheels, Finance Available, Rear view Camera, Service History Available & Test Drive Available",4.5/5,4.2/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.9/5
411,2018 Maruti Suzuki Eeco,5 STR WITH A/C+HTR [2019-2020],₹ 4.4 Lakh,Jun-18,"42,000 km",Petrol,16.2 kmpl,Manual,White,Not Available,First,Registered at,"Very Good Condition, Less Driven, Non Accidental, Original Paint, Single Owner & Test Drive Available",4.5/5,4.2/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.9/5
412,2008 Hyundai Santro,GLS,₹ 1.99 Lakh,Jun-08,"54,572 km",Petrol,17.92 kmpl,Manual,Silver,Not Available,First,Registered at,"Very Good Condition, Non Accidental, Original Paint & Single Owner",4.5/5,4.2/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.9/5
413,2014 Maruti Suzuki Wagon R,LXI,₹ 3.5 Lakh,Jun-14,"67,000 km",Petrol,20.5 kmpl,Manual,Silver,Not Available,First,Registered at,"Very Good Condition, Less Driven, Non Accidental, Original Paint, Single Owner, Finance Available, Test Drive Available & Service History Available",4.5/5,4.2/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.9/5
414,2010 Maruti Suzuki Alto,VXi,₹ 2.25 Lakh,Jun-10,"80,334 km",Petrol,20.2 kmpl,Manual,Black,Not Available,First,Registered at,"Excellent Condition, Certified Car, Single Owner & Finance Available",4.5/5,4.2/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.9/5
415,2019 Hyundai Elite i20,Sportz Plus 1.4 CRDi,₹ 8.5 Lakh,Jun-19,"70,000 km",Diesel,22.5 kmpl,Manual,Silver,Not Available,First,Registered at,"Excellent Condition, Less Driven, Non Accidental, Original Paint, Single Owner, Alloy Wheels, Finance Available, Rear view Camera, Service History Available & Test Drive Available",4.5/5,4.2/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.9/5
416,2021 Mercedes-Benz AMG A35 Limousine,4MATIC,₹ 55 Lakh,Jun-21,"2,000 km",Petrol,301 bhp @ 5800 rpm ,Automatic,Black,Not Available,UnRegistered Car,Registered at,"Unregistered Car
can Register Across india

price Quoted is Exshowroom Hyderabad",4.5/5,4.2/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.9/5
417,2022 Mercedes-Benz A-Class Sedan,200,₹ 55 Lakh,Jun-22,"2,000 km",Petrol,161 bhp @ 5500 rpm ,Automatic,Black,Not Available,UnRegistered Car,Registered at,"DEMO CAR CAN BE REGISTERED ANY WHERE IN INDIA

price Quoted is Exshowroom Hyderabad",4.5/5,4.2/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.9/5
418,2018 Mercedes-Benz GLA,200 d Sport,₹ 29.5 Lakh,Jun-18,"39,000 km",Diesel,FWD ,Automatic,Silver,Not Available,UnRegistered Car,Registered at,well maintained,4.5/5,4.2/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.9/5
419,2021 Honda WR-V,VX MT Petrol,₹ 10.8 Lakh,Jan-21,"12,169 km",Petrol,17.5 kmpl,Manual,Grey,Not Available,First,Registered at,Get Seller Details,4.5/5,4.2/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.9/5
420,2019 MG Hector,Sharp Hybrid 1.5 Petrol [2019-2020],₹ 17.9 Lakh,May-19,"19,118 km",Hybrid,15.81 kmpl,Manual,White,Not Available,First,Registered at,Get Seller Details,4.5/5,4.2/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.9/5
421,2018 Jeep Compass,Limited (O) 2.0 Diesel [2017-2020],₹ 20.2 Lakh,Apr-18,"29,831 km",Diesel,FWD ,Manual,Black,Not Available,Second,Registered at,Get Seller Details,4.5/5,4.2/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.9/5
422,2021 Jeep Wrangler,Rubicon,₹ 66 Lakh,May-21,"7,099 km",Petrol,10 kmpl,Automatic,Red,Not Available,Second,Registered at,Get Seller Details,4.5/5,4.2/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.9/5
423,2014 Jaguar XF,2.2 Diesel,₹ 24.49 Lakh,Mar-14,"63,000 km",Diesel,RWD ,Automatic,Blue,Not Available,First,Registered at,Get Seller Details,4.5/5,4.2/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.9/5
424,2016 Volkswagen Polo,GT TSI,₹ 6.75 Lakh,May-16,"65,031 km",Petrol,17.21 kmpl,Automatic,Red,Not Available,First,Registered at,"""This car is MRL certified and checked by experts on 140 quality parameters to provide you with a good-as-new experience. We have a 7-day easy return policy, no question asked, and a free 12-month warranty*
Mega Refurbishment Labs (MRLs) are world-class facilities across 7 metros in India - each is built on 35 acres of land and can produce 20,000 top-quality refurbished cars per month.""",4.5/5,4.2/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.9/5
425,2018 Maruti Suzuki Baleno,Sigma,₹ 5.52 Lakh,May-18,"73,471 km",Petrol,21.01 kmpl,Manual,Black,Not Available,First,Registered at,"""This car is MRL certified and checked by experts on 140 quality parameters to provide you with a good-as-new experience. We have a 7-day easy return policy, no question asked, and a free 12-month warranty*
Mega Refurbishment Labs (MRLs) are world-class facilities across 7 metros in India - each is built on 35 acres of land and can produce 20,000 top-quality refurbished cars per month.""
",4.5/5,4.2/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.9/5
426,2016 Renault Kwid,RXL [2015-2019],₹ 3.23 Lakh,May-16,"24,727 km",Petrol,25.17 kmpl,Manual,Maroon,Not Available,Second,Registered at,"Super saver Days sale!!!!! save upto 60,000/- off. This car is MRL certified and checked by experts on 140 quality parameters to provide you with a good-as-new experience. We have a 7-day easy return policy, no question asked, and a free 12-month warranty. Mega Refurbishment Labs (MRLs) are world-class facilities across 7 metros in India - each is built on 35 acres of land and can produce 20,000 top-quality refurbished cars per month. Additional charges for Insurance and RC Transfer may apply. * Terms and conditions applied.",4.5/5,4.2/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.9/5
